family,m,N,K,rho_max,margin,flip_rate,class_size
Knapsack,3,86,5,-0.288789191581943,0.0030039777872431506,0.525,7
Knapsack,5,111,7,-0.05161290628447628,0.0009889240496441243,0.525,7
Knapsack,5,88,7,-0.07591050703372626,0.0047123015825892844,0.4,4
Knapsack,5,294,7,-0.16026590060029644,0.028169014056337982,0.275,4
Knapsack,3,219,5,-0.41808460518985724,0.004625346896392268,0.425,5
Knapsack,3,71,5,-0.36503276907420684,0.005387066935895635,0.7,5
Knapsack,3,94,5,-0.39701966334604877,0.006750862751792042,0.85,5
Knapsack,5,299,7,-0.1634263799606515,0.013132851147887425,0.375,4
Knapsack,3,206,5,-0.41152150325449754,0.0010410641979178292,0.875,10
Knapsack,3,175,5,-0.4010374490790392,0.002661142965631469,0.875,7
Knapsack,3,277,5,-0.42416201996893577,0.0050033806576065265,0.85,8
Knapsack,4,174,6,-0.1740574575279577,0.012820512807692253,0.775,8
Knapsack,4,282,6,-0.2117083476207699,0.028539190412336324,0.575,8
Knapsack,4,255,6,-0.20767956150467204,0.018945760103284748,0.25,4
Knapsack,3,235,5,-0.43944250666392515,0.002147214684858345,0.95,7
Knapsack,3,264,5,-0.40681869862348263,0.010989010978021962,0.425,8
Knapsack,3,182,5,-0.4318826107437487,0.0033248608707385774,0.65,7
Knapsack,4,208,6,-0.21270447651953042,0.008931835715532799,0.525,7
Knapsack,4,284,6,-0.1708076535538624,0.01448141685934523,0.625,8
Knapsack,5,185,7,-0.1339055794438139,0.01535630168786506,0.8,7
Knapsack,3,92,5,-0.4164345144776872,0.004729729725000076,0.85,9
Knapsack,5,134,7,0.06552900471043036,0.01368523947800604,0.725,6
Knapsack,5,257,7,-0.14567118130516205,0.02318370045296947,0.625,7
Knapsack,4,66,6,-0.15288798662673342,0.019230769211538656,0.05,3
Knapsack,4,79,6,-0.19983101586493035,0.015867356019076517,0.65,5
Knapsack,3,218,5,-0.4273532771854358,0.010989010978021962,0.425,5
Knapsack,3,251,5,-0.4113600110970026,0.022050456810612684,0.6,6
Knapsack,3,122,5,-0.3429641283087407,0.02114292615984048,0.525,8
Knapsack,5,279,7,-0.08590713606166886,0.02976492471232861,0.725,8
Knapsack,5,168,7,-0.13146239485330286,0.020374220353846284,0.55,7
Knapsack,5,80,7,-0.004923667054188894,0.006105006098901189,0.5,7
Knapsack,4,202,6,-0.27263459835730747,0.01988795516218489,0.45,7
Knapsack,5,264,7,-0.16084122516757202,0.008658008649350735,0.65,7
Knapsack,3,236,5,-0.44359133671232553,0.006520198434301849,0.775,11
Knapsack,3,196,5,-0.38330066028385734,0.0017942583714116722,0.925,11
Knapsack,4,249,6,-0.2023548350849764,0.012048192759036125,0.55,5
Knapsack,4,262,6,-0.241213569581537,0.00346800762614885,0.4,5
Knapsack,5,87,7,-0.0475274105645015,0.0011845534221751608,0.7,5
Knapsack,5,242,7,-0.14910416682998734,0.01388888887500006,0.425,5
Knapsack,4,66,6,-0.09630566604224787,0.06531945288426211,0.075,3
Knapsack,3,80,5,-0.3727199302589423,0.01722652883720932,0.425,7
Knapsack,3,292,5,-0.4434347438666536,0.0030095759203829786,0.975,11
Knapsack,4,88,6,-0.24354181756915194,0.001997040756477886,0.675,5
Knapsack,5,165,7,-0.0670851815655729,0.025974025948051982,0.35,7
Knapsack,4,262,6,-0.24409017632540483,0.011897590349548182,0.625,5
Knapsack,5,65,7,-0.1241101593006985,0.016393442606557618,0.45,3
Knapsack,3,223,5,-0.44416817742060766,0.003719406497569855,0.6,10
Knapsack,5,200,7,-0.14259101170052702,0.005103082256583069,0.75,5
Knapsack,3,286,5,-0.39375716446833836,0.010539297664673208,0.35,6
Knapsack,4,225,6,-0.2806104345898033,0.02519349545212013,0.15,3
Knapsack,4,159,6,-0.1979810695024473,0.02735014736865382,0.325,4
Knapsack,4,238,6,-0.20534077860332028,0.021202531624367138,0.275,4
Knapsack,4,288,6,-0.2686652164773333,0.013108540091768317,0.625,7
Knapsack,3,198,5,-0.44180973628564624,0.0056589724440805345,0.625,6
Knapsack,4,232,6,-0.21148572763139661,0.002270627617015464,0.775,6
Knapsack,4,256,6,-0.2779248807118302,0.027165410298535142,0.625,7
Knapsack,3,148,5,-0.3979768204719834,0.003713184326849306,0.675,5
Knapsack,4,180,6,-0.1079017616699497,0.008491047025848797,0.75,6
Knapsack,3,138,5,-0.40516746808850124,0.005813949448217448,0.65,4
Knapsack,4,266,6,-0.17779513739525302,0.04079115440739556,0.3,6
Knapsack,4,122,6,-0.1499490606285228,0.014358974344615416,0.025,2
Knapsack,3,184,5,-0.4050978249546421,0.010989010978021962,0.8,8
Knapsack,5,209,7,-0.12945797819869428,0.01904761902857144,0.375,5
Knapsack,3,174,5,-0.4183642979103635,0.002221060880976955,0.55,8
Knapsack,4,196,6,-0.22098514634091723,0.015804597685344812,0.7,8
Knapsack,5,267,7,-0.06332777320028438,0.003781029093703814,0.275,6
Knapsack,5,219,7,-0.06906691963401249,0.03126006472322984,0.375,6
Knapsack,5,85,7,-0.11317119346121404,0.0073589577961322705,0.75,8
Knapsack,4,67,6,-0.12614416778868517,0.008468437390704242,0.625,6
Knapsack,4,114,6,-0.20390238520295378,0.011741682962817968,0.575,6
Knapsack,5,251,7,-0.10228468490923501,0.00387212540033699,0.575,8
Knapsack,5,117,7,-0.0574688396060291,0.010171333939100635,0.225,4
Knapsack,4,67,6,-0.12336560034148839,0.029510395678068346,0.2,4
Knapsack,3,116,5,-0.4201282921470094,0.012205137697402946,0.45,6
Knapsack,4,150,6,-0.1803632211029763,0.012658227835442792,0.5,7
Knapsack,5,66,7,-0.14996706710774615,0.004669721454689135,0.675,5
Knapsack,3,62,5,-0.41318730459073594,0.013333333319999974,0.375,5
Knapsack,3,86,5,-0.3678116731022804,0.018939393920454517,0.425,8
Knapsack,4,253,6,-0.26214407393675165,0.0031426775581395727,0.4,8
Knapsack,3,146,5,-0.4578870163529527,0.0050505050454545675,0.85,6
Knapsack,5,143,7,-0.10376153999789293,0.010256410246153869,0.25,6
Knapsack,4,65,6,-0.12901580440152627,0.03813559318220339,0.5,5
Knapsack,4,208,6,-0.27174250314850246,0.015301418354124796,0.8,10
Knapsack,4,129,6,-0.21440619804400987,0.01904761902857144,0.475,6
Knapsack,4,179,6,-0.17076682500147344,0.022957185081564635,0.625,8
Knapsack,4,146,6,-0.25590765963440143,0.00801871031607082,0.575,4
Knapsack,4,172,6,-0.24979089061375945,0.0197665010472311,0.55,3
Knapsack,4,226,6,-0.266696033734678,0.0072332730488244845,0.875,11
Knapsack,4,76,6,-0.2088280195102465,0.0024210199124351517,0.525,3
Knapsack,5,228,7,-0.1763042755396097,0.014099183680193694,0.225,5
Knapsack,4,227,6,-0.26832043245538784,0.030308302992108516,0.775,9
Knapsack,5,138,7,-0.12398812459886785,0.0021900489728177153,0.9,7
Knapsack,3,129,5,-0.3508406090217776,0.010869565206521825,0.475,6
Knapsack,4,107,6,-0.15400636685777513,0.002442201234939767,0.525,5
Knapsack,4,138,6,-0.1593726850667499,0.010035842283870888,0.875,9
Knapsack,5,265,7,-0.12548208833343055,0.013157894723684227,0.575,7
Knapsack,5,121,7,-0.0730874836219946,0.00490196077941174,0.225,3
Knapsack,4,232,6,-0.10815752633475875,0.0024021219953166417,0.775,6
Knapsack,5,164,7,-0.13243514242894794,0.012843209731136174,0.575,8
Knapsack,3,201,5,-0.41112812340627436,0.00835945662695925,0.6,6
Job-shop,3,216,5,-0.46374839803843965,0.0602950327564703,0.175,4
Job-shop,3,215,5,-0.4692847892231542,0.01924556813825634,0.825,12
Job-shop,3,75,5,-0.460962717252901,0.00878667279967793,0.825,11
Job-shop,5,205,7,-0.17792831207181622,0.01163362695450404,0.525,7
Job-shop,3,258,5,-0.4776277234858913,0.03413120563962774,0.225,6
Job-shop,4,254,6,-0.30811801672691613,0.028101802729056213,0.5,8
Job-shop,4,158,6,-0.23715994920594047,0.023809523785714326,0.65,11
Job-shop,5,206,7,-0.16591950677364414,0.04603554142632982,0.5,8
Job-shop,4,169,6,-0.24649170375255017,0.022488754999112348,0.825,9
Job-shop,4,140,6,-0.1976809705844404,0.005994920730172215,0.9,10
Job-shop,4,191,6,-0.21973381945909062,0.04437747146354204,0.55,8
Job-shop,5,257,7,-0.1461715154369453,0.04444444439999995,0.475,9
Job-shop,4,144,6,-0.1586040406098474,0.0146341463268293,0.9,8
Job-shop,5,158,7,-0.14235508588961776,0.021022976315477615,0.775,12
Job-shop,5,157,7,-0.12806987670679718,0.04014252810813995,0.475,5
Job-shop,4,103,6,-0.2521126721458016,0.0017813128756341556,0.925,8
Job-shop,3,207,5,-0.4635924561946235,0.013131313118181831,0.35,7
Job-shop,3,253,5,-0.44585492900793916,0.004661712599072554,0.325,7
Job-shop,5,175,7,-0.1523522323847178,0.0121834355021474,0.75,8
Job-shop,4,121,6,-0.21061035764516642,0.015243902423780487,0.35,6
Job-shop,5,134,7,-0.10630930070006914,0.008771929815789503,0.8,5
Job-shop,5,105,7,-0.16120620442410225,0.04180750893995083,0.525,6
Job-shop,5,154,7,-0.14799112671042056,0.03333333329999999,0.4,8
Job-shop,4,218,6,-0.13607706738174322,0.0022172948980044294,0.925,16
Job-shop,3,85,5,-0.41377177797373554,0.021276595723404235,0.925,6
Job-shop,5,124,7,-0.09754730677376951,0.02162162160000003,0.5,5
Job-shop,4,295,6,-0.279375645781989,0.03636363632727274,0.675,8
Job-shop,5,117,7,-0.13143343295355112,0.03936822860942807,0.8,8
Job-shop,3,226,5,-0.4497929556859042,0.04255319144680847,0.5,5
Job-shop,4,169,6,-0.2277322151259285,5.709894064065413e-05,0.825,10
Job-shop,4,207,6,-0.21715992753180047,0.03508964932806358,0.7,12
Job-shop,5,256,7,-0.18347510672800166,0.014090900359628733,0.6,11
Job-shop,3,112,5,-0.4310280348182817,0.014018691182373533,0.925,11
Job-shop,4,122,6,-0.21702728251367123,0.019583843309669502,0.7,9
Job-shop,3,252,5,-0.4727047338386057,0.004500835873812392,0.975,13
Job-shop,4,227,6,-0.21246217019186237,0.00941306754318938,0.9,14
Job-shop,5,214,7,-0.1857427338503927,0.016666666649999995,0.775,12
Job-shop,3,277,5,-0.4304020171173042,0.021276595723404235,0.575,9
Job-shop,4,184,6,-0.28884950883405935,0.02005129649315457,0.6,6
Job-shop,3,118,5,-0.43183890037787404,0.020370348876912414,0.7,7
Job-shop,5,73,7,-0.054252201624170195,0.0033085194342432067,0.775,5
Job-shop,3,81,5,-0.4825978485052643,0.008333333325000025,0.65,7
Job-shop,3,220,5,-0.4836034404955557,0.062499999937499995,0.4,6
Job-shop,3,181,5,-0.45873659332395617,0.039715491886449183,0.45,9
Job-shop,4,125,6,-0.17561415769160252,0.02326531451049757,0.875,7
Job-shop,3,162,5,-0.42981730780098637,0.05748792264782615,0.225,4
Job-shop,5,295,7,-0.17946605938345556,0.0017113408662998153,0.975,12
Job-shop,5,88,7,-0.04357628860293649,0.02702702699999998,0.45,4
Job-shop,3,87,5,-0.48395731916522805,0.00786308972386679,0.9,9
Job-shop,5,290,7,-0.18848004736087096,0.008333333325000025,0.725,12
Job-shop,3,267,5,-0.4782703657036249,0.009523828789590183,0.9,12
Job-shop,3,120,5,-0.3507071732286875,0.04680851059148944,0.2,5
Job-shop,4,146,6,-0.2399147853976764,0.0304901523417917,0.55,13
Job-shop,5,230,7,-0.17816375573412752,0.026817314757247412,0.7,8
Job-shop,5,149,7,-0.12643664136116495,0.010042035956210726,0.575,5
Job-shop,4,128,6,-0.171339947678637,0.04305555551250001,0.625,9
Job-shop,5,133,7,-0.1546299055517442,0.0016331611150800507,0.525,9
Job-shop,5,127,7,-0.07726376086178897,0.01400862067564651,0.875,7
Job-shop,3,221,5,-0.46646015674276564,0.0,0.3,4
Job-shop,3,147,5,-0.35093106371570326,0.011968085094414882,0.925,10
Job-shop,5,102,7,-0.1592329054348887,0.009216589852534596,0.325,4
Job-shop,5,61,7,-0.05610713540919159,0.011261261250000043,0.2,3
Job-shop,3,236,5,-0.4931379344258713,0.02127659572340429,0.925,11
Job-shop,4,172,6,-0.22764469961351044,0.02222222220000003,0.525,6
Job-shop,5,96,7,-0.1621595214110308,0.009210390951382152,0.65,6
Job-shop,4,286,6,-0.25780872224271456,0.01424326030828954,0.875,13
Job-shop,3,296,5,-0.4533274718202207,0.009309299014755856,0.725,13
Job-shop,3,173,5,-0.4718354033912595,0.062499999937499995,0.275,4
Job-shop,3,229,5,-0.4730407425970354,0.03749999996250003,0.55,9
Job-shop,5,189,7,-0.23043383570766401,0.01424821676915028,0.475,7
Job-shop,3,153,5,-0.47987439786265373,0.02173913041304354,0.35,7
Job-shop,3,231,5,-0.4726884592342204,0.02310923289431749,0.525,7
Job-shop,3,296,5,-0.46618738283268724,0.04255319144680858,0.45,7
