replication,config,loss,wcr
0,Full LexPR,0.5777733475213845,0.6895761516675278
1,Full LexPR,0.5811546368410997,0.7020486402226727
2,Full LexPR,0.5961743579286797,0.7162696258895425
3,Full LexPR,0.6037112613414373,0.715792046821753
4,Full LexPR,0.5301923646485562,0.6941335977959927
5,Full LexPR,0.601716431537466,0.667744558929527
6,Full LexPR,0.6092570101784709,0.702891007825573
7,Full LexPR,0.5825979242747358,0.6989498117884112
8,Full LexPR,0.6332790416012225,0.7024252941935982
9,Full LexPR,0.562509910518049,0.6814837148725436
10,Full LexPR,0.605549206427412,0.6736061035055777
11,Full LexPR,0.5572519272177315,0.6999147060461355
12,Full LexPR,0.6069998538141497,0.7042755370533222
13,Full LexPR,0.575676801110196,0.6893035990296993
14,Full LexPR,0.6328404091074514,0.7121308523622502
15,Full LexPR,0.5742727679987032,0.7269739587062317
16,Full LexPR,0.5850203909962062,0.7173813438822462
17,Full LexPR,0.5829728451056849,0.6781537834718042
18,Full LexPR,0.6028630689194076,0.6842638497075901
19,Full LexPR,0.5675592703024942,0.7160515335961222
20,Full LexPR,0.5893249897153184,0.6952683199644376
21,Full LexPR,0.5387794636969379,0.6892165945249333
22,Full LexPR,0.5929749967920026,0.709245900059762
23,Full LexPR,0.61997683104857,0.7089912693761266
24,Full LexPR,0.6033882916221881,0.688779109372554
25,Full LexPR,0.588903859568619,0.6749485812115567
26,Full LexPR,0.5837619627296878,0.7037201429777106
27,Full LexPR,0.5688355647826864,0.69985522200748
28,Full LexPR,0.5194278939892115,0.6822799297291537
29,Full LexPR,0.5833042156616466,0.7018462917653862
0,No clustering,0.5777733475213845,0.6895761516675278
1,No clustering,0.5811546368410997,0.7020486402226727
2,No clustering,0.5961743579286797,0.7162696258895425
3,No clustering,0.6037112613414373,0.715792046821753
4,No clustering,0.5301923646485562,0.6941335977959927
5,No clustering,0.601716431537466,0.667744558929527
6,No clustering,0.6092570101784709,0.702891007825573
7,No clustering,0.5825979242747358,0.6989498117884112
8,No clustering,0.6332790416012225,0.7024252941935982
9,No clustering,0.562509910518049,0.6814837148725436
10,No clustering,0.605549206427412,0.6736061035055777
11,No clustering,0.5572519272177315,0.6999147060461355
12,No clustering,0.6069998538141497,0.7042755370533222
13,No clustering,0.575676801110196,0.6893035990296993
14,No clustering,0.6328404091074514,0.7121308523622502
15,No clustering,0.5742727679987032,0.7269739587062317
16,No clustering,0.5850203909962062,0.7173813438822462
17,No clustering,0.5829728451056849,0.6781537834718042
18,No clustering,0.6028630689194076,0.6842638497075901
19,No clustering,0.5675592703024942,0.7160515335961222
20,No clustering,0.5893249897153184,0.6952683199644376
21,No clustering,0.5387794636969379,0.6892165945249333
22,No clustering,0.5929749967920026,0.709245900059762
23,No clustering,0.61997683104857,0.7089912693761266
24,No clustering,0.6033882916221881,0.688779109372554
25,No clustering,0.588903859568619,0.6749485812115567
26,No clustering,0.5837619627296878,0.7037201429777106
27,No clustering,0.5688355647826864,0.69985522200748
28,No clustering,0.5194278939892115,0.6822799297291537
29,No clustering,0.5833042156616466,0.7018462917653862
0,No singletons,0.5141088608569766,0.7113877667837498
1,No singletons,0.4803964268488308,0.7792144664128182
2,No singletons,0.4987967347329518,0.8104295382822618
3,No singletons,0.5178283924440549,0.7870162777001112
4,No singletons,0.4849929405911079,0.8043463883828235
5,No singletons,0.5339428224557997,0.764626583955938
6,No singletons,0.515627020574633,0.7779443279454392
7,No singletons,0.49081472762087014,0.7724554806728405
8,No singletons,0.5223234129193761,0.8063157051120289
9,No singletons,0.4927104269546959,0.7825036079872035
10,No singletons,0.5155648063713291,0.7784479384813853
11,No singletons,0.4705050286842581,0.7620231381518793
12,No singletons,0.5669732921854159,0.8076423883726612
13,No singletons,0.5263206912884119,0.7653032375642134
14,No singletons,0.4710955550611385,0.7820858943302489
15,No singletons,0.5065918220134874,0.7995830073427383
16,No singletons,0.5084369530534197,0.7764426418675907
17,No singletons,0.5080308270090456,0.7094805189037484
18,No singletons,0.5428553878173664,0.7753014739089363
19,No singletons,0.5069017257515195,0.7934653211720175
20,No singletons,0.5263444140754118,0.7656282990923319
21,No singletons,0.48397236600087135,0.8192086624224689
22,No singletons,0.4812730837086885,0.7444216805524898
23,No singletons,0.5262116339997226,0.7892255505358058
24,No singletons,0.4957489096595691,0.756921598127283
25,No singletons,0.4979875282801378,0.732947182094459
26,No singletons,0.4944742502774329,0.7915216210529343
27,No singletons,0.5247993416914701,0.8121574432354579
28,No singletons,0.5275592067363293,0.783338564682469
29,No singletons,0.49857768578361344,0.78780638309302
0,Mean only,0.5777733475213845,0.6895761516675278
1,Mean only,0.5811546368410997,0.7020486402226727
2,Mean only,0.5961743579286797,0.7162696258895425
3,Mean only,0.6037112613414373,0.715792046821753
4,Mean only,0.5301923646485562,0.6941335977959927
5,Mean only,0.601716431537466,0.667744558929527
6,Mean only,0.6092570101784709,0.702891007825573
7,Mean only,0.5825979242747358,0.6989498117884112
8,Mean only,0.6332790416012225,0.7024252941935982
9,Mean only,0.562509910518049,0.6814837148725436
10,Mean only,0.605549206427412,0.6736061035055777
11,Mean only,0.5572519272177315,0.6999147060461355
12,Mean only,0.6069998538141497,0.7042755370533222
13,Mean only,0.575676801110196,0.6893035990296993
14,Mean only,0.6328404091074514,0.7121308523622502
15,Mean only,0.5742727679987032,0.7269739587062317
16,Mean only,0.5850203909962062,0.7173813438822462
17,Mean only,0.5829728451056849,0.6781537834718042
18,Mean only,0.6028630689194076,0.6842638497075901
19,Mean only,0.5675592703024942,0.7160515335961222
20,Mean only,0.5893249897153184,0.6952683199644376
21,Mean only,0.5387794636969379,0.6892165945249333
22,Mean only,0.5929749967920026,0.709245900059762
23,Mean only,0.61997683104857,0.7089912693761266
24,Mean only,0.6033882916221881,0.688779109372554
25,Mean only,0.588903859568619,0.6749485812115567
26,Mean only,0.5837619627296878,0.7037201429777106
27,Mean only,0.5688355647826864,0.69985522200748
28,Mean only,0.5194278939892115,0.6822799297291537
29,Mean only,0.5833042156616466,0.7018462917653862
0,Max only,0.6551103376724402,0.8331729457910293
1,Max only,0.6588858713387691,0.9054220164917733
2,Max only,0.6967333442924117,0.9884788249368539
3,Max only,0.6770851225416801,0.9402028000276655
4,Max only,0.7064099723742953,0.9767035647164176
5,Max only,0.6751444046868109,0.9540328889041707
6,Max only,0.685384105522798,0.9571516105409633
7,Max only,0.7036842880430411,0.9965634034750421
8,Max only,0.7030741175781888,0.9999999905102268
9,Max only,0.6675321432440199,0.9226371531294895
10,Max only,0.6789392547970591,0.9804615613299997
11,Max only,0.6718800120097341,0.9792853997321173
12,Max only,0.7047251724878278,0.9999999921030911
13,Max only,0.6634022641040398,0.9128235540571794
14,Max only,0.7012660470362007,0.9581257008857142
15,Max only,0.6852348536903785,0.9999999905035307
16,Max only,0.6787341398706581,0.9212423478465481
17,Max only,0.6883403979005448,0.9949888801178273
18,Max only,0.6964814775194601,0.9999999901690978
19,Max only,0.6731938025804195,0.9361239210842257
20,Max only,0.6767728103128252,0.9199323480678396
21,Max only,0.6663496058714916,0.9288869552824657
22,Max only,0.6998190517264173,0.9999999901058974
23,Max only,0.6693720081895405,0.866494042642729
24,Max only,0.6953489461776381,0.9999999918410072
25,Max only,0.660464773661521,0.885572140402682
26,Max only,0.6930943576781482,0.9960401669986803
27,Max only,0.6916996925562591,0.961331709623961
28,Max only,0.6845770926881588,0.9928459603448062
29,Max only,0.7038462034321985,0.9999999924771557
