method,loss_mean,tail_loss
TOPSIS,0.2808616284396881,0.4926648705114219
CP,0.3211036228321705,0.493379130061008
Knee,0.32685909022151255,0.5738537414048338
WS,0.270608790493368,0.5767680157352224
Leximax,0.4384249327197067,0.5575852798002447
RW,0.3567844275406012,0.7816678082986294
ASF,0.40909231398620993,0.515127707247915
SMAA,0.35959035056137395,0.7938156323132137
MMR,0.3902512450238599,0.5069698620317309
LexPR,0.37700230888202013,0.522096503094448
ReLexTail_0.02,0.37219252635385347,0.5184311648177661
ReLexTail_0.01,0.3747456576692586,0.5200141011559369
ReLexTail_0.005,0.3760586406327515,0.5210637886123426
