method,linear,chebyshev,aug_asf,ces,choquet,satisfice,overall
TOPSIS,0.4010229591126342,0.5119936327856084,0.5118840523949755,0.5636505552441552,0.33644948066135716,0.4770838856317807,0.46701409430508517
CP,0.4873456069622274,0.4579214896717466,0.45799825664719845,0.4354356217820686,0.30139422884071115,0.2669184226396352,0.40116893775726453
Knee,0.48308012535429234,0.5007452364256723,0.5007694339159733,0.5226734127623426,0.47948903922821695,0.5553678479471624,0.5070208492722768
WS,0.4010229591126342,0.5119936327856084,0.5118840523949755,0.5636505552441552,0.33644948066135716,0.4770838856317807,0.46701409430508517
Leximax,0.6823125304206835,0.43756337435999076,0.4379627429967391,0.3417287662610894,0.3275457551860021,0.42218106326018784,0.4415490387474488
RW,0.4065115732236383,0.516505107278665,0.5163981748087295,0.5739452428411759,0.3888712026380837,0.5472704194074437,0.49158362003295597
ASF,0.673212874853337,0.431764163728022,0.43215498516919904,0.3268160620370207,0.2820043310044227,0.3800728971745629,0.42100421899442736
SMAA,0.40436063785547144,0.5185557153980892,0.5184463978951137,0.5794445341835751,0.37948645700805395,0.5345512995922633,0.4891408403220945
MMR,0.6608758040909717,0.43806939139860795,0.43843538665461546,0.34210736234499023,0.340761266386504,0.39377370516564025,0.43567048600688824
LexPR,0.5875587495657926,0.4489630596865416,0.44920254638673107,0.3708295959984779,0.35901655301884156,0.46698395446641455,0.4470924098537999
ReLexTail_0.02,0.5855869722567789,0.4483793507638148,0.4486166174150698,0.37115868759019605,0.3565060028037607,0.4742274264496116,0.44741250954653866
ReLexTail_0.01,0.5884457842054945,0.4480181247048413,0.4482596000379052,0.3697639817636036,0.3551296156593507,0.4698329452328803,0.4465750086006793
ReLexTail_0.005,0.5878061114628127,0.44946376313385905,0.449703429336734,0.3716598605465501,0.3588108854207478,0.4693390510378078,0.447797183489752
