method,is_relex,delta,tail_loss,flip_rate,fam_linear,fam_chebyshev,fam_aug_asf,fam_ces,fam_choquet,fam_satisfice
ASF,False,0.0,0.42941679379896436,0.0,0.6835207056318245,0.42210272657872927,0.42245546343689505,0.31414813074382225,0.3683127945020582,0.36596094190045686
CP,False,0.0,0.39267529163049963,0.0,0.45999442939488977,0.44270840820734647,0.44274594303921966,0.4370560849140821,0.3182905111154411,0.25525637311201865
LexPR,False,0.0,0.45106843739766356,0.5333333333333333,0.5787227610980562,0.44044126631344843,0.44063328964643667,0.36232308990941636,0.4215818234666581,0.4627083939519653
Leximax,False,0.0,0.45251354290803053,0.0,0.693951241686982,0.43348685084349026,0.4338431355337148,0.3340179097345485,0.4149595606605948,0.4048225589888531
MMR,False,0.0,0.42960185667679457,0.0,0.6756839570308794,0.4231199051234522,0.4234622118929112,0.3159264027438509,0.3811882278386253,0.35823043543104893
RW,False,0.0,0.45636937649131293,0.0,0.3766785109424206,0.49165680375875254,0.49153671090354306,0.5454835944697682,0.32696227078802614,0.5058983680853667
ReLexTail(d=0.001),True,0.001,0.45106843739766356,0.5666666666666667,0.5787227610980562,0.44044126631344843,0.44063328964643667,0.36232308990941636,0.4215818234666581,0.4627083939519653
ReLexTail(d=0.01),True,0.01,0.45172125817530356,0.5,0.5801705910137944,0.4414387803519713,0.4416322716651365,0.36296762344689276,0.4203991030489131,0.4637191795251129
ReLexTail(d=0.05),True,0.05,0.450379207948137,0.43333333333333335,0.5726554388387939,0.44236775181464977,0.4425492645629278,0.3642034835951181,0.4144248747002935,0.46607443417703887
ReLexTail(d=0.1),True,0.1,0.45037387383203414,0.5333333333333333,0.5720278367697578,0.44226615088944415,0.44244693635681887,0.3652365051844201,0.41389536666913723,0.46637044712262693
ReLexTail(d=0.2),True,0.2,0.4540318954844359,0.4666666666666667,0.5796047700115239,0.4439319791035288,0.4441220468770556,0.36744086117729347,0.41776880746856754,0.47132290826864587
SMAA,False,0.0,0.4659061300115822,0.0,0.3769092973942573,0.4973962652324131,0.49727095564640417,0.5567911922402116,0.33383686573712074,0.5332322038190865
TOPSIS,False,0.0,0.4236736112481177,0.0,0.3720455973406296,0.4754127750029632,0.4753023663085155,0.5131606358690145,0.27925398840834703,0.42686630455923674
WS,False,0.0,0.4337872839250825,0.0,0.37113532966485047,0.4807918893680929,0.48067541197864233,0.5233633195581223,0.2888512659345302,0.457906487046257
