method,grouped_loss,grouped_std,grouped_lower,grouped_upper,tail_loss,tail_std,tail_lower,tail_upper
TOPSIS,0.34272883444970326,0.1605572717395723,0.32592781674298416,0.35884077343123516,0.24954100735655974,0.10416033045523289,0.23826530754896116,0.2607576074957209
CP,0.34941646263098686,0.17060613929131757,0.33156716725626123,0.366927662404141,0.2557210169391353,0.10837547426622318,0.2449055443275208,0.2672081777959454
Knee,0.35670015233065444,0.17668913889241677,0.3381964833389254,0.3753952541304989,0.3270230656415608,0.20339143867798795,0.3069140216316075,0.34882364204741134
WS,0.3529558089102169,0.14321293852511197,0.33846861662477884,0.36719346207996817,0.2618645528497148,0.1084856190073609,0.2506381473085573,0.27368245111655654
Leximax,0.42088066457738965,0.24841815526154434,0.3945121404027331,0.44583728238108156,0.4315447379500665,0.2068002674489683,0.4110803688906891,0.4537730261730708
RW,0.36966538770189616,0.12436645049682309,0.35732649601037586,0.38192576885821006,0.3003115852695254,0.12476583993426997,0.288260886216675,0.31319442761478333
ASF,0.4230029478620286,0.24966948343869425,0.3964591102069864,0.4477945078032206,0.4293933080243413,0.20692634301952065,0.40791760201664484,0.451429457785859
SMAA,0.37240141485230477,0.12238611628840658,0.3594525281131011,0.38440338398469515,0.30192387751825284,0.12507615219078128,0.2893949084530678,0.31444047446716
MMR,0.38401902969260704,0.20572529526803326,0.3617698577137024,0.40458273698991715,0.32692587565368264,0.14850031571194175,0.3110609863458067,0.3423804836494344
LexPR,0.4194347276433692,0.24555465183018205,0.3940596327044755,0.4455721872559097,0.4145095575006302,0.18973423715033966,0.39504493787024014,0.43368546780155154
ReLexTail_0.02,0.41988382695594334,0.2466206627280595,0.39530945272705353,0.4453153571767013,0.4048792820001446,0.191561493284625,0.38493396776071714,0.4252427906604201
ReLexTail_0.01,0.4194501625984627,0.24708440339750964,0.39402110888226083,0.4453510404221181,0.41042790065126267,0.19068870976248387,0.3903740645230366,0.43056998319112894
ReLexTail_0.005,0.41967109450073725,0.24648585353294317,0.39354263776951887,0.44550518121663707,0.4123695642311874,0.19034146427303475,0.39293166175055516,0.43200956797345963
