config,geometry,replication,method,grouped_loss,tail_loss
"R1 (5 groups, m=10)",linear,0,TOPSIS,0.45588154916274354,0.2917028372735996
"R1 (5 groups, m=10)",linear,1,TOPSIS,0.42068262766562764,0.321149764466988
"R1 (5 groups, m=10)",linear,2,TOPSIS,0.4319976832526915,0.2644770802125933
"R1 (5 groups, m=10)",linear,3,TOPSIS,0.43069227532737464,0.21797165845435748
"R1 (5 groups, m=10)",linear,4,TOPSIS,0.4251255318331751,0.2409499388077111
"R1 (5 groups, m=10)",linear,5,TOPSIS,0.42030601607623425,0.3857574615406741
"R1 (5 groups, m=10)",linear,6,TOPSIS,0.424510609164121,0.24027875555019246
"R1 (5 groups, m=10)",linear,7,TOPSIS,0.4295246485770599,0.2774926423364902
"R1 (5 groups, m=10)",linear,8,TOPSIS,0.4182784596474654,0.3278046947044794
"R1 (5 groups, m=10)",linear,9,TOPSIS,0.4512345869974659,0.3644364791146487
"R1 (5 groups, m=10)",linear,10,TOPSIS,0.42248833146377196,0.30738599493617164
"R1 (5 groups, m=10)",linear,11,TOPSIS,0.4370487581187722,0.2720355165240516
"R1 (5 groups, m=10)",linear,12,TOPSIS,0.4335055940553565,0.330857852149216
"R1 (5 groups, m=10)",linear,13,TOPSIS,0.41305884862556447,0.34832008311433843
"R1 (5 groups, m=10)",linear,14,TOPSIS,0.4097843366531252,0.23709399358862715
"R1 (5 groups, m=10)",linear,15,TOPSIS,0.39850027062000576,0.2965276196965126
"R1 (5 groups, m=10)",linear,16,TOPSIS,0.42683805026383587,0.3078379650925514
"R1 (5 groups, m=10)",linear,17,TOPSIS,0.4258903123657423,0.3541691839942266
"R1 (5 groups, m=10)",linear,18,TOPSIS,0.4037040697878261,0.32178781442856
"R1 (5 groups, m=10)",linear,19,TOPSIS,0.42271786492460356,0.35994055727108876
"R1 (5 groups, m=10)",linear,20,TOPSIS,0.3956234427215078,0.2809147427209182
"R1 (5 groups, m=10)",linear,21,TOPSIS,0.4145423548139315,0.3193514446820479
"R1 (5 groups, m=10)",linear,22,TOPSIS,0.4311638112765174,0.28761292985839265
"R1 (5 groups, m=10)",linear,23,TOPSIS,0.3951703438620425,0.3693112373818206
"R1 (5 groups, m=10)",linear,24,TOPSIS,0.4078742282567812,0.3064138953076968
"R1 (5 groups, m=10)",linear,25,TOPSIS,0.3818798959072531,0.38748964689149157
"R1 (5 groups, m=10)",linear,26,TOPSIS,0.4591048738820561,0.37668990464594526
"R1 (5 groups, m=10)",linear,27,TOPSIS,0.4072057506210536,0.2546870065456174
"R1 (5 groups, m=10)",linear,28,TOPSIS,0.4199487749652412,0.35575656343158374
"R1 (5 groups, m=10)",linear,29,TOPSIS,0.40734273173267466,0.39313935773756487
"R1 (5 groups, m=10)",linear,0,CP,0.45588154916274354,0.2917028372735996
"R1 (5 groups, m=10)",linear,1,CP,0.42068262766562764,0.321149764466988
"R1 (5 groups, m=10)",linear,2,CP,0.4319976832526915,0.2644770802125933
"R1 (5 groups, m=10)",linear,3,CP,0.43069227532737464,0.21797165845435748
"R1 (5 groups, m=10)",linear,4,CP,0.4251255318331751,0.2409499388077111
"R1 (5 groups, m=10)",linear,5,CP,0.42030601607623425,0.3857574615406741
"R1 (5 groups, m=10)",linear,6,CP,0.424510609164121,0.24027875555019246
"R1 (5 groups, m=10)",linear,7,CP,0.4295246485770599,0.2774926423364902
"R1 (5 groups, m=10)",linear,8,CP,0.4182784596474654,0.3278046947044794
"R1 (5 groups, m=10)",linear,9,CP,0.45919211368268786,0.35673218996037453
"R1 (5 groups, m=10)",linear,10,CP,0.42248833146377196,0.30738599493617164
"R1 (5 groups, m=10)",linear,11,CP,0.4370487581187722,0.2720355165240516
"R1 (5 groups, m=10)",linear,12,CP,0.4335055940553565,0.330857852149216
"R1 (5 groups, m=10)",linear,13,CP,0.41305884862556447,0.34832008311433843
"R1 (5 groups, m=10)",linear,14,CP,0.4089307113457131,0.2599374503426653
"R1 (5 groups, m=10)",linear,15,CP,0.39850027062000576,0.2965276196965126
"R1 (5 groups, m=10)",linear,16,CP,0.4235653965334079,0.3151252769357847
"R1 (5 groups, m=10)",linear,17,CP,0.43061733937841834,0.3437248881762754
"R1 (5 groups, m=10)",linear,18,CP,0.4037040697878261,0.32178781442856
"R1 (5 groups, m=10)",linear,19,CP,0.42084016898470966,0.3364674743384063
"R1 (5 groups, m=10)",linear,20,CP,0.3956234427215078,0.2809147427209182
"R1 (5 groups, m=10)",linear,21,CP,0.4145423548139315,0.3193514446820479
"R1 (5 groups, m=10)",linear,22,CP,0.4311638112765174,0.28761292985839265
"R1 (5 groups, m=10)",linear,23,CP,0.3951703438620425,0.3693112373818206
"R1 (5 groups, m=10)",linear,24,CP,0.4078742282567812,0.3064138953076968
"R1 (5 groups, m=10)",linear,25,CP,0.4301092305246944,0.3532328654062128
"R1 (5 groups, m=10)",linear,26,CP,0.43841479256640353,0.37507043907214155
"R1 (5 groups, m=10)",linear,27,CP,0.4072057506210536,0.2546870065456174
"R1 (5 groups, m=10)",linear,28,CP,0.42612710366282613,0.3272606083820403
"R1 (5 groups, m=10)",linear,29,CP,0.4069084169907841,0.37993920019982613
"R1 (5 groups, m=10)",linear,0,Knee,0.425757352299973,0.5636571482151749
"R1 (5 groups, m=10)",linear,1,Knee,0.42402243135750184,0.5997551649165168
