problem_id,resample,n_obs,exact_recovered,tolerance_covered
0,0,1,0,0
0,1,1,0,0
0,2,1,0,0
0,3,1,0,0
0,4,1,0,0
0,0,2,0,0
0,1,2,0,0
0,2,2,0,0
0,3,2,0,0
0,4,2,1,1
0,0,5,1,1
0,1,5,1,1
0,2,5,1,1
0,3,5,1,1
0,4,5,1,1
0,0,10,1,1
0,1,10,1,1
0,2,10,1,1
0,3,10,1,1
0,4,10,1,1
0,0,20,1,1
0,1,20,1,1
0,2,20,1,1
0,3,20,1,1
0,4,20,1,1
0,0,50,1,1
0,1,50,1,1
0,2,50,1,1
0,3,50,1,1
0,4,50,1,1
0,0,100,1,1
0,1,100,1,1
0,2,100,1,1
0,3,100,1,1
0,4,100,1,1
1,0,1,0,0
1,1,1,0,0
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
1,0,2,0,0
1,1,2,0,0
1,2,2,0,0
1,3,2,0,0
1,4,2,0,0
1,0,5,0,0
1,1,5,0,0
1,2,5,0,0
1,3,5,0,0
1,4,5,0,0
1,0,10,0,0
1,1,10,0,0
1,2,10,0,0
1,3,10,0,0
1,4,10,1,1
1,0,20,1,1
1,1,20,1,1
1,2,20,1,1
1,3,20,0,0
1,4,20,0,0
1,0,50,0,0
1,1,50,1,1
1,2,50,0,0
1,3,50,1,1
1,4,50,0,0
1,0,100,0,0
1,1,100,0,0
1,2,100,0,0
1,3,100,0,0
1,4,100,1,1
2,0,1,0,0
2,1,1,0,0
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
2,0,2,0,0
2,1,2,0,0
2,2,2,0,0
2,3,2,0,0
2,4,2,0,0
2,0,5,0,0
2,1,5,0,0
2,2,5,0,0
2,3,5,0,0
2,4,5,0,0
2,0,10,0,0
2,1,10,0,0
2,2,10,0,0
2,3,10,0,0
2,4,10,0,0
2,0,20,0,0
2,1,20,1,1
2,2,20,1,1
2,3,20,0,0
2,4,20,0,0
2,0,50,0,0
2,1,50,0,0
2,2,50,1,1
2,3,50,1,1
2,4,50,0,0
2,0,100,1,1
2,1,100,1,1
2,2,100,1,1
2,3,100,1,1
2,4,100,1,1
3,0,1,0,0
3,1,1,0,0
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
3,0,2,0,0
3,1,2,0,0
3,2,2,0,0
