method,wcr_mean,wcr_std,ru_mean
TOPSIS,0.9746317872925009,0.041140015584845056,0.36051285944860084
CP,0.9057274173868938,0.08897454410607726,0.25531079379590854
Knee,0.8913061632478719,0.0707668220267815,0.2879369224162548
WS,0.9790360558548006,0.03778922691426362,0.36332387123859766
Leximax,0.982385255985978,0.0232265307205844,0.22158221955121632
RW,0.9654524592904933,0.05293697683662426,0.3572400035016316
ASF,0.9286963593466855,0.07271917844315402,0.22788524154219247
SMAA,0.9479943478574386,0.06866771347784256,0.35612317860454507
MMR,0.9115716275432637,0.08354468960917359,0.20362737131312855
LexPR,0.6974660181691508,0.01912761596184007,0.22206449928680216
ReLexTail_0.02,0.6977091713649461,0.019487426030182168,0.2217785026772578
ReLexTail_0.01,0.6976184101625063,0.01911716231863211,0.22199636052663096
ReLexTail_0.005,0.6974660181691508,0.01912761596184007,0.22206449928680216
