geometry,m,agreement,mean_rms_distance,tolerance_jaccard
linear,3,0.0,0.43897091779189046,0.0
linear,5,0.0,0.3561737266150102,0.0
linear,8,0.0,0.2881354986619612,0.0
linear,10,0.0,0.2760558905370445,0.0
concave,3,0.0,0.3953915369029432,0.0
concave,5,0.0,0.4016378319038651,0.0
concave,8,0.0,0.36902226622009315,0.0
concave,10,0.0,0.3669143786283553,0.0
convex,3,0.0,0.5113257294614325,0.0
convex,5,0.0,0.4144335508769249,0.0
convex,8,0.0,0.3348486285627018,0.0
convex,10,0.0,0.29924683263753304,0.0
disconnected,3,0.25,0.21302566171874898,0.25
disconnected,5,0.05,0.28828938952441224,0.05
disconnected,8,0.0,0.3263230968934249,0.0
disconnected,10,0.0,0.33940917795705416,0.0
