method,loss_mean,tail_loss
TOPSIS,0.2192414469817511,0.5405823425418459
CP,0.2068105938924944,0.5085837985620861
Knee,0.3078510965112993,0.6057716842271584
WS,0.3044015201104252,0.668724966659132
Leximax,0.2756533504475085,0.5149605289777904
RW,0.4629658431611287,0.9056306903077043
ASF,0.23610486996978047,0.47469587249814627
SMAA,0.4714255384497858,0.9198994968577668
MMR,0.22864353188223696,0.47344140666966456
LexPR,0.2478546095219565,0.48384638294067195
ReLexTail_0.02,0.24386300658964527,0.4820136148866401
ReLexTail_0.01,0.24558266187094485,0.48243527018078797
ReLexTail_0.005,0.24645138188856866,0.482955576950171
