method,grouped_loss,grouped_std,grouped_lower,grouped_upper,tail_loss,tail_std,tail_lower,tail_upper
TOPSIS,0.3321437790946411,0.1862154307879502,0.31258831818764016,0.3507429259151899,0.45478556952046933,0.2392984318730164,0.4303316733907207,0.4789932922926136
CP,0.31656649237018014,0.1832530050355142,0.2967781921708571,0.33438188414840236,0.4227359460069621,0.22190642331546068,0.40019827598578134,0.4460189349137305
Knee,0.32082737796360233,0.18481726839868073,0.3014275617245744,0.34058917156269075,0.4687548488654763,0.24364732156115482,0.4435596121885704,0.4938976633184251
WS,0.3722494057063014,0.17656651939854742,0.35388880674356915,0.3904088133641487,0.529869531052859,0.2438975295067756,0.5045428905433204,0.556167799377628
Leximax,0.27133995518006115,0.17806955604573405,0.25213469879440553,0.28971822203835396,0.41206040297197494,0.19289383384336714,0.39336162220402754,0.4329379870824621
RW,0.40858045561134004,0.15990973037931652,0.39224059082347135,0.42492932970780617,0.5981302071672538,0.2311574620720996,0.5751277145489564,0.6218180819792477
ASF,0.26571922509184254,0.17343872862537607,0.24728540481167385,0.2833514488761789,0.4060558660077389,0.19365500082110715,0.3858191001041432,0.42698922995391875
SMAA,0.41289568473470867,0.157048502550706,0.3966974934896582,0.42813703855938634,0.6030684200717595,0.22817181686491647,0.5793878983763341,0.6258477835885854
MMR,0.2952261547110606,0.17809423491993065,0.27645931022224596,0.31324476674288126,0.3865768622925452,0.17939812294926805,0.3682738158894859,0.4052740721997622
LexPR,0.2683986504528759,0.1763647945565923,0.25040921175107733,0.28726670373822716,0.39051842426758426,0.17480231779890446,0.3724805940980053,0.4081614980841503
ReLexTail_0.02,0.271116374893638,0.1769104812877031,0.2535937105432444,0.2896432634086502,0.38452478096920684,0.17559756126446166,0.3660929757213352,0.40365936663416524
ReLexTail_0.01,0.2684594672358786,0.17709599204554494,0.2500378302380621,0.28695032493106853,0.3881057610268273,0.17545788146337574,0.3695615094835551,0.40664355080540515
ReLexTail_0.005,0.2687739909008806,0.17636611619398868,0.2507220241053637,0.2871984909460444,0.3894384239753077,0.17518184445502044,0.37174894214556503,0.40752459148976306
