ablation,instance,m,N,diverged_from_base,pareto_violation
Full adaptive,0,5,100,False,False
Singletons only,0,5,100,False,False
No clustering,0,5,100,False,False
No singletons,0,5,100,False,False
Grand mean only,0,5,100,False,False
Grand max only,0,5,100,False,False
ASF-equivalent singleton,0,5,100,False,False
Full adaptive,1,5,200,False,False
Singletons only,1,5,200,False,False
No clustering,1,5,200,True,False
No singletons,1,5,200,False,False
Grand mean only,1,5,200,True,False
Grand max only,1,5,200,False,False
ASF-equivalent singleton,1,5,200,True,False
Full adaptive,2,8,100,False,False
Singletons only,2,8,100,False,False
No clustering,2,8,100,False,False
No singletons,2,8,100,False,False
Grand mean only,2,8,100,False,False
Grand max only,2,8,100,False,False
ASF-equivalent singleton,2,8,100,False,False
Full adaptive,3,5,200,False,False
Singletons only,3,5,200,False,False
No clustering,3,5,200,False,False
No singletons,3,5,200,False,False
Grand mean only,3,5,200,False,False
Grand max only,3,5,200,False,False
ASF-equivalent singleton,3,5,200,False,False
Full adaptive,4,5,200,False,False
Singletons only,4,5,200,False,False
No clustering,4,5,200,False,False
No singletons,4,5,200,False,False
Grand mean only,4,5,200,False,False
Grand max only,4,5,200,False,False
ASF-equivalent singleton,4,5,200,True,False
Full adaptive,5,5,200,False,False
Singletons only,5,5,200,False,False
No clustering,5,5,200,True,False
No singletons,5,5,200,False,False
Grand mean only,5,5,200,False,False
Grand max only,5,5,200,True,False
ASF-equivalent singleton,5,5,200,True,False
Full adaptive,6,8,100,False,False
Singletons only,6,8,100,False,False
No clustering,6,8,100,False,False
No singletons,6,8,100,False,False
Grand mean only,6,8,100,True,False
Grand max only,6,8,100,False,False
ASF-equivalent singleton,6,8,100,True,False
Full adaptive,7,5,200,False,False
Singletons only,7,5,200,False,False
No clustering,7,5,200,True,False
No singletons,7,5,200,False,False
Grand mean only,7,5,200,True,False
Grand max only,7,5,200,False,False
ASF-equivalent singleton,7,5,200,False,False
Full adaptive,8,8,200,False,False
Singletons only,8,8,200,False,False
No clustering,8,8,200,True,False
No singletons,8,8,200,True,False
Grand mean only,8,8,200,True,False
