instance,m,N,geometry,explanation_depth,compactness_ratio,actionable
0,5,100,energy,3,0.36310426433790166,False
1,3,300,disconnected,3,0.3165489501987828,False
2,3,100,asymmetric,2,0.21154692938245762,False
3,5,100,water,1,0.31952512085548856,True
4,8,300,wfg2,6,0.31415689428027543,True
5,5,300,irregular,1,0.2509610968300925,True
6,3,300,water,1,0.3694242157566956,True
7,5,300,wfg2,5,0.35704715000381293,True
8,8,100,water,3,0.3950669148556075,True
9,8,300,concrete,7,0.29320918543265506,True
10,5,300,convex,3,0.29656394671264996,True
11,5,100,concrete,5,0.26829350655452,True
12,5,100,concrete,2,0.14868574341877994,True
13,8,300,water,1,0.2066862854919996,True
14,3,300,cars,1,0.3505285149566594,True
15,8,100,wfg2,1,0.36728671761478626,True
16,8,100,cars,1,0.2452654057181427,True
17,5,100,energy,3,0.21532096292452624,True
18,3,100,asymmetric,1,0.3033288041702583,True
19,5,300,jobshop,1,0.20566687808505413,True
20,8,100,convex,3,0.38742863220052315,True
21,8,300,irregular,4,0.21732823957955533,False
22,3,100,irregular,2,0.38123196378661206,True
23,8,300,irregular,5,0.12351574662005634,True
24,3,300,concave,1,0.22109095397678163,True
25,8,300,cars,6,0.3439476186306154,False
26,3,300,convex,3,0.35829469268595293,True
27,5,300,concave,5,0.21194029051943136,True
28,8,300,degenerate,8,0.15019109070789577,True
29,3,100,asymmetric,3,0.32839723676517263,True
30,3,100,disconnected,3,0.11412495051888501,True
31,3,300,cars,3,0.10067037166321284,True
32,5,100,water,4,0.2955191637963153,True
33,8,300,linear,5,0.23963741424832188,True
34,8,300,water,6,0.29407247981935913,True
35,5,300,wfg2,5,0.24302968457283208,False
36,3,100,asymmetric,3,0.17622097957671717,True
37,5,300,irregular,3,0.13393092252671518,True
38,3,100,jobshop,3,0.2255897042820803,True
39,5,100,manyknee,1,0.2497671023200104,True
40,3,300,manyknee,3,0.2768991808051007,True
41,8,100,concrete,6,0.2516629280171361,True
42,3,300,cars,1,0.2595573188583016,True
43,5,300,convex,1,0.3609605264589726,True
44,3,100,concave,1,0.35494293941766986,False
45,3,300,energy,2,0.2483827285324754,False
46,3,100,degenerate,2,0.1936232700927182,False
47,8,300,wfg2,6,0.2813925345588313,True
48,3,300,water,2,0.16378311870357204,False
49,5,300,knapsack,3,0.3299785500963557,True
50,3,300,concave,2,0.13071417082431525,True
51,5,100,irregular,2,0.2908294825604322,True
52,3,100,irregular,1,0.2969839288152383,True
53,3,100,jobshop,1,0.35432402871188484,True
54,3,100,irregular,1,0.22721263029585506,True
55,3,300,wfg2,2,0.2329707056254188,True
56,8,300,jobshop,1,0.3694135560230055,True
57,8,300,concave,7,0.3632257633607585,True
58,8,300,asymmetric,8,0.20650348741420504,True
59,5,300,concave,1,0.24523291514403958,True
60,3,300,asymmetric,3,0.18319239917988928,False
61,3,300,concave,2,0.15377426060275007,True
62,8,100,manyknee,4,0.2095030175689129,True
63,5,300,degenerate,5,0.3939744276909978,True
64,3,100,degenerate,2,0.2943845665904957,False
65,3,100,wfg2,1,0.16765725279314947,True
66,8,300,wfg2,5,0.25529160120552785,True
67,3,100,disconnected,1,0.19837116524066456,True
68,3,100,jobshop,2,0.3188043764649927,True
69,5,100,convex,5,0.15610018305550993,False
70,5,100,asymmetric,5,0.18304812140513937,False
71,5,300,wfg2,1,0.13782230268356793,True
72,5,100,linear,3,0.2070086417276788,True
73,8,100,concrete,3,0.2390177740886793,True
74,5,100,degenerate,3,0.3171563759894678,False
75,5,100,degenerate,2,0.13139916095723161,True
76,3,100,disconnected,3,0.26427211371702736,True
77,3,100,degenerate,2,0.30229759462001493,True
78,3,100,water,1,0.10044776858966305,True
79,5,300,wfg2,5,0.21492403066496188,True
80,8,300,asymmetric,2,0.17771852175201414,False
81,3,300,asymmetric,3,0.39411341458964033,True
82,5,100,convex,5,0.31379752332853456,True
83,8,300,water,1,0.1889979406591761,True
84,8,100,degenerate,5,0.11062504208491336,True
85,8,100,water,2,0.3463341074700315,True
86,3,300,concrete,3,0.10019611856868299,True
87,3,300,concave,2,0.19402268915383417,True
88,5,300,wfg2,5,0.2753415599917448,True
89,8,300,water,3,0.10007102466577793,True
90,5,100,concrete,1,0.2529899919539185,True
91,5,300,irregular,3,0.3339694045357071,True
92,3,300,irregular,1,0.3219454685420091,True
93,5,100,asymmetric,4,0.10372582600551385,True
94,8,300,asymmetric,1,0.10320386992366284,True
95,8,300,cars,5,0.23894749287383557,False
96,3,300,degenerate,1,0.19725389646289915,True
97,5,300,disconnected,2,0.34118478129826624,False
98,5,300,cars,2,0.2244134973199907,True
99,5,300,concave,5,0.16906282022185837,True
