regime,instance,m,N,diverged,lexpr_winner,asf_winner,rho,redundancy_ratio,density,geometry
Redundant block,0,5,100,False,52,52,0.9,0.6,,
Redundant block,1,5,100,False,45,45,0.9,0.6,,
Redundant block,2,5,100,False,11,11,0.9,0.6,,
Redundant block,3,5,100,False,93,93,0.9,0.6,,
Redundant block,4,5,100,False,0,0,0.9,0.6,,
Redundant block,5,5,100,False,50,50,0.9,0.6,,
Redundant block,6,5,100,False,3,3,0.9,0.6,,
Redundant block,7,5,100,False,68,68,0.9,0.6,,
Redundant block,8,5,100,False,28,28,0.9,0.6,,
Redundant block,9,5,100,False,47,47,0.9,0.6,,
Redundant block,10,5,100,False,32,32,0.9,0.6,,
Redundant block,11,5,100,False,56,56,0.9,0.6,,
Redundant block,12,5,100,False,66,66,0.9,0.6,,
Redundant block,13,5,100,False,2,2,0.9,0.6,,
Redundant block,14,5,100,False,20,20,0.9,0.6,,
Redundant block,15,5,100,False,57,57,0.9,0.6,,
Redundant block,16,5,100,False,12,12,0.9,0.6,,
Redundant block,17,5,100,False,37,37,0.9,0.6,,
Redundant block,18,5,100,False,75,75,0.9,0.6,,
Redundant block,19,5,100,False,18,18,0.9,0.6,,
Redundant block,20,5,100,False,77,77,0.9,0.6,,
Redundant block,21,5,100,False,4,4,0.9,0.6,,
Redundant block,22,5,100,False,37,37,0.9,0.6,,
Redundant block,23,5,100,True,82,27,0.9,0.6,,
Redundant block,24,5,100,False,76,76,0.9,0.6,,
Redundant block,25,5,100,False,35,35,0.9,0.6,,
Redundant block,26,5,100,False,82,82,0.9,0.6,,
Redundant block,27,5,100,False,21,21,0.9,0.6,,
Redundant block,28,5,100,False,84,84,0.9,0.6,,
Redundant block,29,5,100,False,13,13,0.9,0.6,,
Redundant block,30,5,100,True,92,83,0.9,0.6,,
Redundant block,31,5,100,False,35,35,0.9,0.6,,
Redundant block,32,5,100,False,70,70,0.9,0.6,,
Redundant block,33,5,100,False,40,40,0.9,0.6,,
Redundant block,34,5,100,False,74,74,0.9,0.6,,
Redundant block,35,5,100,False,64,64,0.9,0.6,,
Redundant block,36,5,100,False,56,56,0.9,0.6,,
Redundant block,37,5,100,False,69,69,0.9,0.6,,
Redundant block,38,5,100,False,46,46,0.9,0.6,,
Redundant block,39,5,100,False,98,98,0.9,0.6,,
Many-objective,0,10,200,True,199,121,0.0,,sparse,
Many-objective,1,15,200,True,178,42,0.0,,sparse,
Many-objective,2,15,200,True,119,108,0.0,,sparse,
Many-objective,3,15,200,True,79,117,0.0,,sparse,
Many-objective,4,15,200,False,32,32,0.0,,sparse,
Many-objective,5,10,200,True,163,73,0.0,,sparse,
Many-objective,6,10,200,True,168,94,0.0,,sparse,
Many-objective,7,10,200,False,182,182,0.0,,sparse,
Many-objective,8,15,200,True,43,36,0.0,,sparse,
Many-objective,9,10,200,True,3,157,0.0,,sparse,
Many-objective,10,15,200,True,126,165,0.0,,sparse,
Many-objective,11,15,200,True,29,171,0.0,,sparse,
Many-objective,12,10,200,True,193,181,0.0,,sparse,
Many-objective,13,15,200,False,28,28,0.0,,sparse,
Many-objective,14,10,200,True,152,67,0.0,,sparse,
Many-objective,15,10,200,True,164,26,0.0,,sparse,
Many-objective,16,15,200,True,180,82,0.0,,sparse,
Many-objective,17,15,200,True,176,80,0.0,,sparse,
Many-objective,18,10,200,True,128,199,0.0,,sparse,
Many-objective,19,10,200,False,163,163,0.0,,sparse,
Many-objective,20,10,200,True,11,39,0.0,,sparse,
Many-objective,21,10,200,False,44,44,0.0,,sparse,
Many-objective,22,15,200,True,120,48,0.0,,sparse,
Many-objective,23,10,200,False,148,148,0.0,,sparse,
Many-objective,24,15,200,False,191,191,0.0,,sparse,
Many-objective,25,15,200,True,54,121,0.0,,sparse,
Many-objective,26,10,200,True,18,184,0.0,,sparse,
Many-objective,27,10,200,False,171,171,0.0,,sparse,
Many-objective,28,15,200,True,31,36,0.0,,sparse,
Many-objective,29,15,200,True,29,172,0.0,,sparse,
Many-objective,30,15,200,True,19,161,0.0,,sparse,
Many-objective,31,15,200,False,172,172,0.0,,sparse,
Many-objective,32,10,200,True,87,75,0.0,,sparse,
Many-objective,33,15,200,False,16,16,0.0,,sparse,
Many-objective,34,15,200,True,155,150,0.0,,sparse,
Many-objective,35,10,200,True,97,89,0.0,,sparse,
Many-objective,36,15,200,False,192,192,0.0,,sparse,
Many-objective,37,10,200,True,8,160,0.0,,sparse,
Many-objective,38,15,200,True,90,68,0.0,,sparse,
Many-objective,39,10,200,True,178,167,0.0,,sparse,
Dense near-ties,0,3,1000,True,227,743,0.5,,dense,
Dense near-ties,1,3,1000,True,166,726,0.5,,dense,
