experiment,instance,m,N,geometry,uncertainty,lexpr_flip_rate,asf_flip_rate,removals,lexpr_flipped,asf_flipped
Bound Uncertainty,0,3,300,knapsack,0.05,0.08,0.18,,,
Bound Uncertainty,0,3,300,knapsack,0.1,0.12,0.34,,,
Bound Uncertainty,0,3,300,knapsack,0.2,0.28,0.54,,,
Bound Uncertainty,0,3,300,knapsack,0.5,0.76,1.0,,,
IIA,0,3,300,knapsack,,,,1.0,False,False
IIA,0,3,300,knapsack,,,,2.0,False,False
IIA,0,3,300,knapsack,,,,3.0,False,False
Bound Uncertainty,1,3,100,convex,0.05,0.06,0.04,,,
Bound Uncertainty,1,3,100,convex,0.1,0.16,0.3,,,
Bound Uncertainty,1,3,100,convex,0.2,0.22,0.62,,,
Bound Uncertainty,1,3,100,convex,0.5,0.7,1.0,,,
IIA,1,3,100,convex,,,,1.0,False,False
IIA,1,3,100,convex,,,,2.0,False,False
IIA,1,3,100,convex,,,,3.0,True,True
Bound Uncertainty,2,5,300,asymmetric,0.05,0.08,0.18,,,
Bound Uncertainty,2,5,300,asymmetric,0.1,0.18,0.42,,,
Bound Uncertainty,2,5,300,asymmetric,0.2,0.36,0.48,,,
Bound Uncertainty,2,5,300,asymmetric,0.5,0.76,1.0,,,
IIA,2,5,300,asymmetric,,,,1.0,False,False
IIA,2,5,300,asymmetric,,,,2.0,False,False
IIA,2,5,300,asymmetric,,,,3.0,False,False
Bound Uncertainty,3,5,100,jobshop,0.05,0.1,0.2,,,
Bound Uncertainty,3,5,100,jobshop,0.1,0.18,0.24,,,
Bound Uncertainty,3,5,100,jobshop,0.2,0.4,0.5,,,
Bound Uncertainty,3,5,100,jobshop,0.5,0.84,1.0,,,
IIA,3,5,100,jobshop,,,,1.0,False,False
IIA,3,5,100,jobshop,,,,2.0,True,False
IIA,3,5,100,jobshop,,,,3.0,False,False
Bound Uncertainty,4,5,100,wfg2,0.05,0.0,0.08,,,
Bound Uncertainty,4,5,100,wfg2,0.1,0.1,0.4,,,
Bound Uncertainty,4,5,100,wfg2,0.2,0.22,0.48,,,
Bound Uncertainty,4,5,100,wfg2,0.5,0.78,1.0,,,
