N,m,K_adaptive,runtime_sec
100,3,6,0.00036597251892089844
100,5,9,0.00025177001953125
100,10,17,0.0002810955047607422
100,15,24,0.0003147125244140625
100,30,47,0.0004439353942871094
100,50,77,0.0006258487701416016
1000,3,6,0.0012378692626953125
1000,5,9,0.0012969970703125
1000,10,17,0.0014200210571289062
1000,15,24,0.0016939640045166016
1000,30,47,0.003458738327026367
1000,50,77,0.00556492805480957
10000,3,6,0.011716842651367188
10000,5,9,0.012561798095703125
10000,10,17,0.014295101165771484
10000,15,24,0.017194032669067383
10000,30,47,0.024197816848754883
10000,50,77,0.03548026084899902
100000,3,6,0.11984515190124512
100000,5,9,0.1291201114654541
100000,10,17,0.14934301376342773
