split,arm,label,n_instances,mean_rho_lower,median_rho_lower,share_rho_positive,mean_focal_certified_volume,share_focal_certified,median_focal_boxes
development,A0_global_independent,"A0 retention gate, independent quotient",54,1.8518518518518518e-05,0.0,0.018518518518518517,2.8439304190929093e-10,0.0,300.0
development,A1_decision_independent,"A1 decision gate, independent quotient",54,0.026387297453703697,0.0130791015625,0.8148148148148148,0.3825891489233068,0.37037037037037035,300.0
development,A2_decision_joint,"A2 decision gate, joint quotient",54,0.04262047887731482,0.023209960937500003,0.8703703703703703,0.5365209475826136,0.5185185185185185,4.0
development,A3_decision_joint_relevant,A3 + decision-relevant branching,54,0.04461201533564817,0.026327148437500003,0.8703703703703703,0.5513121633868857,0.5370370370370371,4.0
calibration,A0_global_independent,"A0 retention gate, independent quotient",18,0.0,0.0,0.0,8.043720011051568e-15,0.0,300.0
calibration,A1_decision_independent,"A1 decision gate, independent quotient",18,0.019369791666666667,0.002948242187500001,0.6666666666666666,0.333335797305675,0.3333333333333333,300.0
calibration,A2_decision_joint,"A2 decision gate, joint quotient",18,0.03229600694444445,0.005675781250000001,0.7777777777777778,0.38888889476275934,0.3888888888888889,300.0
calibration,A3_decision_joint_relevant,A3 + decision-relevant branching,18,0.035110134548611116,0.006065429687500001,0.7777777777777778,0.3888898696978534,0.3888888888888889,300.0
test,A0_global_independent,"A0 retention gate, independent quotient",72,0.0,0.0,0.0,2.738778909727812e-11,0.0,300.0
test,A1_decision_independent,"A1 decision gate, independent quotient",72,0.032989963107638895,0.013468750000000002,0.9305555555555556,0.4274395643297959,0.4166666666666667,300.0
test,A2_decision_joint,"A2 decision gate, joint quotient",72,0.053384629991319446,0.0239892578125,0.9444444444444444,0.5917780546830911,0.5694444444444444,20.0
test,A3_decision_joint_relevant,A3 + decision-relevant branching,72,0.055646755642361115,0.026327148437500003,0.9444444444444444,0.6071337758226631,0.5833333333333334,18.0
stress,A0_global_independent,"A0 retention gate, independent quotient",48,0.0,0.0,0.0,6.785530976804085e-13,0.0,300.0
stress,A1_decision_independent,"A1 decision gate, independent quotient",48,0.030344319661458338,0.0130791015625,0.9583333333333334,0.40230741934729214,0.3958333333333333,300.0
stress,A2_decision_joint,"A2 decision gate, joint quotient",48,0.05410123697916667,0.022041015625,0.9791666666666666,0.5835347412130991,0.5416666666666666,58.0
stress,A3_decision_joint_relevant,A3 + decision-relevant branching,48,0.05549747721354167,0.021261718750000002,0.9791666666666666,0.563992384887018,0.5208333333333334,140.0
