instance,family,split,rho_lower,witness_level
simplex-3-0,simplex,development,0.039964843750000006,0.4
simplex-3-1,simplex,development,0.001,
simplex-3-2,simplex,development,0.010351562500000001,0.05
simplex-3-3,simplex,calibration,0.001,0.01
simplex-3-4,simplex,test,0.022041015625,
simplex-3-5,simplex,test,0.009572265625000001,0.05
simplex-3-6,simplex,test,0.03450976562500001,0.2
simplex-3-7,simplex,test,0.017365234375000003,0.2
simplex-6-0,simplex,development,0.009572265625000001,0.05
simplex-6-1,simplex,development,0.03684765625,0.4
simplex-6-2,simplex,development,0.03684765625,
simplex-6-3,simplex,calibration,0.050095703125,0.4
simplex-6-4,simplex,test,0.009572265625000001,0.05
simplex-6-5,simplex,test,0.005675781250000001,0.05
simplex-6-6,simplex,test,0.010351562500000001,0.05
simplex-6-7,simplex,test,0.018144531250000002,0.1
simplex-10-0,simplex,development,0.029054687500000002,0.2
simplex-10-1,simplex,development,0.028275390625,0.4
simplex-10-2,simplex,development,0.019703125000000002,0.2
simplex-10-3,simplex,calibration,0.022041015625,0.2
simplex-10-4,simplex,test,0.012689453125000002,0.1
simplex-10-5,simplex,test,0.025937500000000002,0.2
simplex-10-6,simplex,test,0.04931640625,0.4
simplex-10-7,simplex,test,0.021261718750000002,0.1
spherical-3-0,spherical,development,0.0025585937500000005,0.01
spherical-3-1,spherical,development,0.0,0.005
spherical-3-2,spherical,development,0.015027343750000002,0.05
spherical-3-3,spherical,calibration,0.001,0.005
spherical-3-4,spherical,test,0.04619921875000001,0.1
spherical-3-5,spherical,test,0.021261718750000002,0.2
spherical-3-6,spherical,test,0.001,0.02
spherical-3-7,spherical,test,0.044640625,0.2
spherical-6-0,spherical,development,0.051654296875000005,0.2
spherical-6-1,spherical,development,0.026716796875000004,0.1
spherical-6-2,spherical,development,0.039185546875000005,0.1
spherical-6-3,spherical,calibration,0.0017792968750000003,0.01
spherical-6-4,spherical,test,0.008792968750000001,0.1
spherical-6-5,spherical,test,0.012689453125000002,0.1
spherical-6-6,spherical,test,0.004896484375000001,0.05
spherical-6-7,spherical,test,0.014248046875000002,0.1
spherical-10-0,spherical,development,0.0025585937500000005,0.05
spherical-10-1,spherical,development,0.0017792968750000003,0.01
spherical-10-2,spherical,development,0.0017792968750000003,0.1
spherical-10-3,spherical,calibration,0.0,0.005
spherical-10-4,spherical,test,0.004896484375000001,0.05
spherical-10-5,spherical,test,0.019703125000000002,0.2
spherical-10-6,spherical,test,0.0,0.005
spherical-10-7,spherical,test,0.007234375000000001,0.1
convex-3-0,convex,development,0.071916015625,
convex-3-1,convex,development,0.06568164062500001,
convex-3-2,convex,development,0.06334375,
convex-3-3,convex,calibration,0.06801953125000001,
convex-3-4,convex,test,0.08906054687500001,
convex-3-5,convex,test,0.07035742187499999,0.4
convex-3-6,convex,test,0.057888671875000006,0.4
convex-3-7,convex,test,0.060226562500000004,
convex-6-0,convex,development,0.04619921875000001,0.4
convex-6-1,convex,development,0.10075,0.4
convex-6-2,convex,development,0.06490234375000001,
convex-6-3,convex,calibration,0.08048828125000002,
convex-6-4,convex,test,0.05944726562500001,
convex-6-5,convex,test,0.054771484375,
convex-6-6,convex,test,0.026716796875000004,0.2
convex-6-7,convex,test,0.029833984375000004,0.1
convex-10-0,convex,development,0.001,0.005
convex-10-1,convex,development,0.075033203125,
convex-10-2,convex,development,0.05243359375000001,
convex-10-3,convex,calibration,0.08126757812500002,
convex-10-4,convex,test,0.061005859375,
