instance,family,data_split,arm,budget,certified_volume,certified,seconds
simplex-3-0,simplex,development,A0_global_independent,64,2.7755575615628914e-16,False,0.03761395893525332
simplex-3-0,simplex,development,A0_global_independent,256,3.2751579226442118e-15,False,0.27036824997048825
simplex-3-0,simplex,development,A0_global_independent,1024,1.0574874309554616e-14,False,1.137905417010188
simplex-3-0,simplex,development,A3_decision_joint_relevant,64,1.0,True,0.0022074170410633087
simplex-3-0,simplex,development,A3_decision_joint_relevant,256,1.0,True,0.001788125024177134
simplex-3-0,simplex,development,A3_decision_joint_relevant,1024,1.0,True,0.0017613330855965614
simplex-3-1,simplex,development,A0_global_independent,64,0.0,False,0.0258582909591496
simplex-3-1,simplex,development,A0_global_independent,256,0.0,False,0.10387970798183233
simplex-3-1,simplex,development,A0_global_independent,1024,0.0,False,0.4528066669590771
simplex-3-1,simplex,development,A3_decision_joint_relevant,64,4.6566128730773926e-09,False,0.03644983400590718
simplex-3-1,simplex,development,A3_decision_joint_relevant,256,3.259629011154175e-08,False,0.12842324993107468
simplex-3-1,simplex,development,A3_decision_joint_relevant,1024,2.60770320892334e-07,False,0.4991935830330476
simplex-3-2,simplex,development,A0_global_independent,64,2.1316282072803006e-13,False,0.03699537506327033
simplex-3-2,simplex,development,A0_global_independent,256,2.05702122002549e-12,False,0.22727541695348918
simplex-3-2,simplex,development,A0_global_independent,1024,8.185452315956354e-12,False,1.043394459062256
simplex-3-2,simplex,development,A3_decision_joint_relevant,64,0.005615234375,False,0.038597875041887164
simplex-3-2,simplex,development,A3_decision_joint_relevant,256,0.020294189453125,False,0.13911483401898295
simplex-3-2,simplex,development,A3_decision_joint_relevant,1024,0.0692138671875,False,0.5382158750435337
simplex-3-3,simplex,calibration,A0_global_independent,64,0.0,False,0.020650333957746625
simplex-3-3,simplex,calibration,A0_global_independent,256,0.0,False,0.09330158401280642
simplex-3-3,simplex,calibration,A0_global_independent,1024,0.0,False,0.39984199998434633
simplex-3-3,simplex,calibration,A3_decision_joint_relevant,64,5.587935447692871e-09,False,0.030987750040367246
simplex-3-3,simplex,calibration,A3_decision_joint_relevant,256,2.584420144557953e-08,False,0.12631070893257856
simplex-3-3,simplex,calibration,A3_decision_joint_relevant,1024,9.743962436914444e-08,False,0.505818625097163
simplex-3-4,simplex,test,A0_global_independent,64,1.734723475976807e-17,False,0.03371337510179728
simplex-3-4,simplex,test,A0_global_independent,256,3.5214886562329184e-16,False,0.24296266702003777
simplex-3-4,simplex,test,A0_global_independent,1024,2.0469737016526324e-15,False,1.1745879580266774
simplex-3-4,simplex,test,A3_decision_joint_relevant,64,0.359375,False,0.03538091597147286
simplex-3-4,simplex,test,A3_decision_joint_relevant,256,1.0,True,0.0913662079256028
simplex-3-4,simplex,test,A3_decision_joint_relevant,1024,1.0,True,0.0911146670114249
simplex-3-5,simplex,test,A0_global_independent,64,0.0,False,0.02979141694959253
simplex-3-5,simplex,test,A0_global_independent,256,0.0,False,0.17283108399715275
simplex-3-5,simplex,test,A0_global_independent,1024,0.0,False,0.8690588750177994
simplex-3-5,simplex,test,A3_decision_joint_relevant,64,0.00146484375,False,0.04965437494684011
simplex-3-5,simplex,test,A3_decision_joint_relevant,256,0.00732421875,False,0.19396345899440348
simplex-3-5,simplex,test,A3_decision_joint_relevant,1024,0.036376953125,False,0.7163627919508144
simplex-3-6,simplex,test,A0_global_independent,64,2.220446049250313e-16,False,0.04552012507338077
simplex-3-6,simplex,test,A0_global_independent,256,3.0531133177191805e-15,False,0.46803049999289215
simplex-3-6,simplex,test,A0_global_independent,1024,1.5140666498325572e-14,False,1.3435010419925675
simplex-3-6,simplex,test,A3_decision_joint_relevant,64,1.0,True,0.00689654191955924
simplex-3-6,simplex,test,A3_decision_joint_relevant,256,1.0,True,0.004885958973318338
simplex-3-6,simplex,test,A3_decision_joint_relevant,1024,1.0,True,0.004551875055767596
simplex-3-7,simplex,test,A0_global_independent,64,0.0,False,0.03775541600771248
simplex-3-7,simplex,test,A0_global_independent,256,0.0,False,0.20896520803216845
simplex-3-7,simplex,test,A0_global_independent,1024,0.0,False,0.9814243339933455
simplex-3-7,simplex,test,A3_decision_joint_relevant,64,0.1015625,False,0.03474679100327194
simplex-3-7,simplex,test,A3_decision_joint_relevant,256,0.4140625,False,0.12956262496300042
simplex-3-7,simplex,test,A3_decision_joint_relevant,1024,1.0,True,0.2781815829221159
simplex-6-0,simplex,development,A0_global_independent,64,0.0,False,0.031166124972514808
simplex-6-0,simplex,development,A0_global_independent,256,0.0,False,0.11493737495038658
simplex-6-0,simplex,development,A0_global_independent,1024,0.0,False,0.4631813750602305
simplex-6-0,simplex,development,A3_decision_joint_relevant,64,4.100799560546875e-05,False,0.05018966703210026
simplex-6-0,simplex,development,A3_decision_joint_relevant,256,0.00022602081298828125,False,0.17697824991773814
simplex-6-0,simplex,development,A3_decision_joint_relevant,1024,0.0013484954833984375,False,0.7209815420210361
simplex-6-1,simplex,development,A0_global_independent,64,0.0,False,0.030140083050355315
simplex-6-1,simplex,development,A0_global_independent,256,0.0,False,0.15156537503935397
simplex-6-1,simplex,development,A0_global_independent,1024,0.0,False,0.6958679169183597
simplex-6-1,simplex,development,A3_decision_joint_relevant,64,1.0,True,0.0011895829811692238
simplex-6-1,simplex,development,A3_decision_joint_relevant,256,1.0,True,0.0011230000527575612
simplex-6-1,simplex,development,A3_decision_joint_relevant,1024,1.0,True,0.0011299169855192304
simplex-6-2,simplex,development,A0_global_independent,64,0.0,False,0.028730666963383555
simplex-6-2,simplex,development,A0_global_independent,256,0.0,False,0.11789583298377693
simplex-6-2,simplex,development,A0_global_independent,1024,0.0,False,0.48318233399186283
simplex-6-2,simplex,development,A3_decision_joint_relevant,64,1.0,True,0.0012424170272424817
simplex-6-2,simplex,development,A3_decision_joint_relevant,256,1.0,True,0.001988208037801087
simplex-6-2,simplex,development,A3_decision_joint_relevant,1024,1.0,True,0.0012333749327808619
simplex-6-3,simplex,calibration,A0_global_independent,64,0.0,False,0.027743375045247376
simplex-6-3,simplex,calibration,A0_global_independent,256,0.0,False,0.11414404201786965
simplex-6-3,simplex,calibration,A0_global_independent,1024,0.0,False,0.44829179195221514
simplex-6-3,simplex,calibration,A3_decision_joint_relevant,64,1.0,True,0.0011850829469040036
simplex-6-3,simplex,calibration,A3_decision_joint_relevant,256,1.0,True,0.0012364580761641264
simplex-6-3,simplex,calibration,A3_decision_joint_relevant,1024,1.0,True,0.001302165910601616
simplex-6-4,simplex,test,A0_global_independent,64,0.0,False,0.027498125098645687
simplex-6-4,simplex,test,A0_global_independent,256,0.0,False,0.1091264170827344
simplex-6-4,simplex,test,A0_global_independent,1024,0.0,False,0.4695985409198329
simplex-6-4,simplex,test,A3_decision_joint_relevant,64,1.1444091796875e-05,False,0.03838925005402416
simplex-6-4,simplex,test,A3_decision_joint_relevant,256,6.103515625e-05,False,0.14749366708565503
simplex-6-4,simplex,test,A3_decision_joint_relevant,1024,0.00021696090698242188,False,0.5806419160217047
simplex-6-5,simplex,test,A0_global_independent,64,0.0,False,0.027954666991718113
simplex-6-5,simplex,test,A0_global_independent,256,0.0,False,0.10934012499637902
simplex-6-5,simplex,test,A0_global_independent,1024,0.0,False,0.4426177080022171
