instance,family,m,data_split,mode,refused,tied_nominal,rival,decisive_coordinate,winner_enclosure_width,rival_enclosure_width,certified_at_root,max_D_width,mean_D_width
simplex-3-0,simplex,3,development,independent,False,False,8,C_M,17.0,14.0,False,0.9977212054103778,0.1868546023077111
simplex-3-0,simplex,3,development,joint,False,False,8,C_M,1.0,0.0,False,0.6692196554562677,0.1301661482547238
simplex-3-1,simplex,3,development,independent,False,False,5,C_M,23.0,20.0,False,1.0,0.2311622765182334
simplex-3-1,simplex,3,development,joint,False,False,5,C_M,23.0,20.0,False,1.0,0.1988639364930109
simplex-3-2,simplex,3,development,independent,False,False,9,C_M,22.0,21.0,False,1.0,0.23771838839209194
simplex-3-2,simplex,3,development,joint,False,False,9,C_M,22.0,21.0,False,1.0,0.22374878748540844
simplex-3-3,simplex,3,calibration,independent,True,,,,,,,,
simplex-3-3,simplex,3,calibration,joint,True,,,,,,,,
simplex-3-4,simplex,3,test,independent,False,False,5,C_M,27.0,13.0,False,0.8599470270198952,0.1666393812623306
simplex-3-4,simplex,3,test,joint,False,False,5,C_M,22.0,13.0,False,0.6466507381833277,0.12218831675901294
simplex-3-5,simplex,3,test,independent,False,False,4,C_M,20.0,13.0,False,1.0,0.21730034222535907
simplex-3-5,simplex,3,test,joint,False,False,4,C_M,20.0,0.0,False,0.958628891307574,0.16387446997769914
simplex-3-6,simplex,3,test,independent,False,False,4,C_M,25.0,2.0,False,0.8361345187097552,0.16719044628362936
simplex-3-6,simplex,3,test,joint,False,False,4,C_M,12.0,0.0,False,0.5336586249531554,0.11335330520698314
simplex-3-7,simplex,3,test,independent,False,False,0,C_M,26.0,15.0,False,0.9733841760665436,0.19424078042533824
simplex-3-7,simplex,3,test,joint,False,False,0,C_M,16.0,7.0,False,0.7496107156058001,0.15302774179891704
simplex-6-0,simplex,6,development,independent,False,False,2,C_M,16.0,12.0,False,0.7774652345094553,0.10979277249768786
simplex-6-0,simplex,6,development,joint,False,False,2,C_M,12.0,9.0,False,0.5416691228125163,0.07990753597599158
simplex-6-1,simplex,6,development,independent,False,False,8,C_M,15.0,11.0,False,0.79153472760214,0.10239632989695421
simplex-6-1,simplex,6,development,joint,False,False,8,C_M,4.0,11.0,True,0.496136027885409,0.06948971308061716
simplex-6-2,simplex,6,development,independent,False,False,0,C_M,25.0,9.0,False,1.0,0.1133816910327918
simplex-6-2,simplex,6,development,joint,False,False,0,C_M,8.0,0.0,True,0.724908821993058,0.0787943195282913
simplex-6-3,simplex,6,calibration,independent,False,False,1,C_M,8.0,11.0,True,1.0,0.12451243993040598
simplex-6-3,simplex,6,calibration,joint,False,False,1,C_M,0.0,10.0,True,0.7918619532458961,0.09068051379094284
simplex-6-4,simplex,6,test,independent,False,False,4,C_M,20.0,18.0,False,0.8523118701134423,0.10605504465460547
simplex-6-4,simplex,6,test,joint,False,False,4,C_M,11.0,9.0,False,0.5876640619958411,0.07523584436290282
simplex-6-5,simplex,6,test,independent,False,False,6,C_M,12.0,17.0,False,1.0,0.14721449435618664
simplex-6-5,simplex,6,test,joint,False,False,6,C_M,10.0,17.0,False,1.0,0.12129744168124065
simplex-6-6,simplex,6,test,independent,False,False,9,C_25,13.0,9.0,False,1.0,0.16541957926220469
